experiment_id,term,count,min,max,mean,std,p01,p05,p50,p95,p99,abs_max
A_n3,volume_movement_signed,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,volume_movement_signed^2,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n3,volume_movement_signed^3,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,bias,925,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
B_n1,directional_volume,925,-8.0,1.5887547924721763,-0.03581772061314107,0.890503457170677,-2.7579340451539784,-1.558095735980293,0.06238053458220185,0.9497262307260884,1.2525317615193707,8.0
B_n1,price_acceleration,925,-6.960568919477537,8.0,-0.025863444078500705,1.002940500036973,-2.1430042883437266,-1.5972227889853512,0.0,1.5008516325437204,2.160713751481732,8.0
B_n1,price_displacement,925,-7.844775584914058,8.0,-0.05698768333195762,1.062219876891189,-2.6341307454010177,-1.517601707852458,0.0,1.5715622615804228,1.888088523331769,8.0
B_n1,price_velocity,925,-7.844775584914058,8.0,-0.06842635731996415,1.0627958130491948,-2.6341307454010177,-1.496748148915679,0.0,1.5758906400379709,2.0165429683694724,8.0
B_n1,relative_volume,925,-0.28915069087347356,0.0,-0.13368580161904675,0.06728916236693874,-0.28562610263620675,-0.24963694328219835,-0.13158655143595155,0.0,0.0,0.28915069087347356
B_n1,spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,volume_density,925,-0.28867587587652865,0.0,-0.13369567054483092,0.06729089991444942,-0.2859573060958147,-0.2500005458784254,-0.13130693298150653,0.0,0.0,0.28867587587652865
